GENE,Strain
oqxA_1,SRR35773224
oqxB_1,SRR35773224
blaKPC-2_1,SRR35773224
blaSHV-12_1,SRR35773224
rmtB_1,SRR35773224
blaCTX-M-65,SRR35773224
aadA2_1,SRR35773224
qnrS1_1,SRR35773225
oqxA_1,SRR35773225
oqxB_1,SRR35773225
tet(A)_6,SRR35773225
dfrA14_5,SRR35773225
aadA2_1,SRR35773226
dfrA14_5,SRR35773226
qnrS1_1,SRR35773226
blaKPC-2_1,SRR35773226
sul2_2,SRR35773226
blaSHV-12_1,SRR35773226
rmtB_1,SRR35773226
tet(A)_6,SRR35773226
blaCTX-M-65,SRR35773226
aadA2_1,SRR35773227
dfrA14_5,SRR35773227
qnrS1_1,SRR35773227
blaKPC-2_1,SRR35773227
sul2_2,SRR35773227
blaSHV-12_1,SRR35773227
rmtB_1,SRR35773227
tet(A)_6,SRR35773227
blaCTX-M-65,SRR35773227
aadA2_1,SRR35773228
dfrA14_5,SRR35773228
qnrS1_1,SRR35773228
blaKPC-2_1,SRR35773228
sul2_2,SRR35773228
blaSHV-12_1,SRR35773228
rmtB_1,SRR35773228
tet(A)_6,SRR35773228
blaCTX-M-65,SRR35773228
